Location,Area_sqft,Price,Price_BDT,Bedroom,Bathroom,Floor,For,Property_Type,URL
"Bashundhara, Dhaka",1575,BDT 1.32 Crore,13200000.0,3,5,4,Sell,Flat,https://brokeragebd.com/property/1575-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a5/
"Bashundhara, Dhaka",1570,BDT 1.25 Crore,12500000.0,3,5,1,Sell,Flat,https://brokeragebd.com/property/1570-sft-3-bedroom-flat-is-ready-for-sale-in-basundhara-a1/
"Uttara, Dhaka",1511,BDT 1.53 Crore,15300000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1511-sft-3-bedroom-flat-is-ready-for-sale-in-uttara/
"Uttara, Dhaka",1509,BDT 1.25 Crore,12500000.0,3,2,6,Sell,Flat,https://brokeragebd.com/property/1509-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-a7-2/
"Aftabnagar, Dhaka",1500,BDT 1.36 Crore,13600000.0,3,3,5,Sell,Flat,https://brokeragebd.com/property/1500-sft-3-bedroom-flat-is-ready-for-sale-in-aftabnagor/
"Moghbazar, Dhaka",1485,BDT 2.63,2.63,3,2,8,Sell,Flat,https://brokeragebd.com/property/1485-sft-3-bedroom-flat-is-ready-for-sale-in-moghbazar/
"Uttarkhan, Dhaka",1455,BDT 1.35 Croe,1.35,3,3,3,Sell,Flat,https://brokeragebd.com/property/1455-sft-3-bebroom-flat-is-ready-for-sale-in-uttarkhan-b3/
"Uttarkhan, Dhaka",1455,BDT 1.35 Croe,1.35,3,3,5,Sell,Flat,https://brokeragebd.com/property/1455-sft-3-bebroom-flat-is-ready-for-sale-in-uttarkhan-b5/
"Uttarkhan, Dhaka",1455,BDT 1.35 Croe,1.35,3,3,6,Sell,Flat,https://brokeragebd.com/property/1455-sft-3-bebroom-flat-is-ready-for-sale-in-uttarkhan-b6/
"Bashundhara, Dhaka",1451,BDT 1.89 Crore,18900000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1451-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a2/
"Bashundhara, Dhaka",1451,BDT 1.89 Crore,18900000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1451-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a1/
"Uttara, Dhaka",1437,BDT 1.39 Crore,13900000.0,3,2,2,Sell,Flat,https://brokeragebd.com/property/1437-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-j2-2/
"Uttara, Dhaka",1437,BDT 1.39 Crore,13900000.0,3,2,6,Sell,Flat,https://brokeragebd.com/property/1437-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-h6/
"Uttara, Dhaka",1437,BDT 1.39 Crore,13900000.0,3,2,9,Sell,Flat,https://brokeragebd.com/property/1437-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-e9/
"Uttara, Dhaka",1437,BDT 1.39 Crore,13900000.0,3,2,9,Sell,Flat,https://brokeragebd.com/property/1437-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-f9/
"Uttara, Dhaka",1437,BDT 1.45 Crore,14500000.0,3,2,8,Sell,Flat,https://brokeragebd.com/property/1437-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-b8/
"Uttara, Dhaka",1437,BDT 1.44 Crore,14400000.0,3,2,8,Sell,Flat,https://brokeragebd.com/property/1437-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-l8-2/
"Shyamoli, Dhaka",1435,BDT 1.52 Crore,15200000.0,3,N/A,10,Sell,Flat,https://brokeragebd.com/property/1435-sft-3-bedroom-flat-is-ready-for-sale-in-shyamoli/
"Khilkhet, Dhaka",1423,BDT 1.35 Crore,13500000.0,3,N/A,3,Sell,Flat,https://brokeragebd.com/property/1423-sft-3-bedroom-flat-is-ready-for-sale-in-khilkhet/
"Rampura, Dhaka",1420,BDT 1.15 Crore,11500000.0,3,3,3,Sell,Flat,https://brokeragebd.com/property/1320-sft-3-bedroom-flat-is-ready-for-sale-in-rampura/
"Bashundhara, Dhaka",1410,BDT 1.31 Crore,13100000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1410-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Bashundhara, Dhaka",1410,BDT 1.31 Crore,13100000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1410-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a2/
"Bashundhara, Dhaka",1395,BDT 1.15 Crore,11500000.0,3,5,6,Sell,Flat,https://brokeragebd.com/property/1395-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Bashundhara, Dhaka",1395,BDT 1.52 Crore,15200000.0,3,5,7,Sell,Flat,https://brokeragebd.com/property/1395-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a7/
"Uttarkhan, Dhaka",1395,BDT 1.20 Crore,12000000.0,3,3,13,Sell,Flat,https://brokeragebd.com/property/1395-sft-3-bebroom-flat-is-ready-for-sale-in-uttarkhan/
"Bashundhara, Dhaka",1369,BDT 1.4 Crore,14000000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1369-sft-3-bedroom-flat-is-ready-for-sale-in-basundhara/
